"speciesid","active","dead","hunger","maturity","x_loc","y_loc","emergence","interactions","midpoint","scale","skew","midpoint.sensitivity","scale.sensitivity","skew.sensitivity","generalism","lifespan","efficacy","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","season","run"
1,0,0,0,0,0,0,0,4,137.176872245036,0.504639668134041,1.493572084466,-3.59681067618727,0.00715702184592374,0.00276125655276701,0,25,0.0996653515729122,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-1,3
2,0,0,0,0,0,0,0,8,100.381160960533,-0.362739237654023,1.3376702957321,4.30798487360809,0.000847567612072452,0.0225139495776966,0,29,0.0397906727949157,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,-1,3
3,0,0,0,0,0,0,0,4,124.244851092808,-0.513583128293976,1.22278599441051,1.10172254850079,0.00394122647354379,0.0208632782194763,0,40,0.0176686763647012,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-1,3
4,0,0,0,0,0,0,0,5,115.156977795996,0.481589455646463,1.83023966872133,-9.99647002954571,9.32578672654923e-05,0.00266720411367715,0,37,0.0869020882435143,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,-1,3
5,0,0,0,0,0,0,0,3,106.057329908945,-0.402167761512101,1.53849678393453,-2.91379278160564,0.00577081030816771,0.0159395640809089,0,30,0.0570726779801771,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,3
6,0,0,0,0,0,0,0,3,92.8685665084049,0.312351096281782,1.09869789495133,-12.1835727840634,0.00920876873307861,-0.00788385700667277,0,40,0.0997331016371027,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,-1,3
7,0,0,0,0,0,0,0,10,96.2095832359046,0.420525752822869,1.10959014249966,4.95285536499756,-0.00377852960373275,0.0135426695086062,1,44,0.0479698617756367,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,-1,3
8,0,0,0,0,0,0,0,13,108.84188733995,0.323717893660068,1.57385503104888,-3.21428952344336,-0.00146843566559255,0.0338112333184108,1,45,0.030576634183526,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,-1,3
9,0,0,0,0,0,0,0,3,138.038463732228,-0.393765795137733,1.53798516304232,1.63230398765072,0.00043821005965583,0.0374909805925563,0,39,0.0193205084581859,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-1,3
10,0,0,0,0,0,0,0,3,103.759481725283,-0.397522780741565,1.48750497843139,-2.58342233242653,-0.000121387515682727,0.0278002076409757,0,42,0.0908992759184912,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,-1,3
11,0,0,0,0,0,0,0,3,102.77990644332,0.32350993717555,1.31923013622873,-7.17985547476707,0.00124789897585288,0.0363184956926852,0,28,0.0328459434187971,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-1,3
12,0,0,0,0,0,0,0,6,142.626054352149,0.345065931184217,1.67978486442007,-12.5822476092171,0.00258531390922144,0.0178458326589316,0,44,0.047201998999808,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,-1,3
13,0,0,0,0,0,0,0,6,149.593317797408,0.345727520878427,1.86157535435632,-6.52758298590249,0.00426004632958211,0.020967371724546,0,32,0.0182234993251041,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,-1,3
14,0,0,0,0,0,0,0,4,140.654821190983,-0.574027080321684,1.84712904295884,-11.6524062595183,0.00378121579182334,0.0366128500178456,0,33,0.0830768813588657,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,-1,3
15,0,0,0,0,0,0,0,8,144.626192953438,0.510675869719125,1.26727361953817,-6.85587532542579,0.00848846010514535,0.0235571429459378,0,25,0.0648310765624046,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-1,3
16,0,0,0,0,0,0,0,12,118.27618394047,0.546164496615529,1.60540340514854,3.4112009907547,0.00362354085315019,-0.00743382106535137,1,41,0.0590951615199447,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,-1,3
17,0,0,0,0,0,0,0,19,103.465104480274,0.499668927211314,1.83095404598862,-2.72684479328666,-0.000301071463618427,-0.00117808875162154,1,47,0.0875041625904851,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,-1,3
18,0,0,0,0,0,0,0,4,97.6688793953508,-0.364855534164235,1.59166346443817,-5.63170919538363,0.00220003038062714,0.0175432295980863,0,42,0.0360239726211876,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1,3
19,0,0,0,0,0,0,0,4,106.781010744162,-0.438918720837682,1.19883968285285,5.31795223333048,0.00393432057811879,5.55162294767798e-05,0,45,0.0145198539458215,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1,3
20,0,0,0,0,0,0,0,3,138.966363617219,0.515055914525874,1.77264699758962,-7.74352394183921,-0.00398896279395558,-0.00959420760860667,0,27,0.0333340573683381,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,3
