"speciesid","population","season","mean.emergence","q1","q3","first","last","run"
1,150,-1,0,0,0,NA,NA,12
2,150,-1,0,0,0,NA,NA,12
3,150,-1,0,0,0,NA,NA,12
4,150,-1,0,0,0,NA,NA,12
5,150,-1,0,0,0,NA,NA,12
6,150,-1,0,0,0,NA,NA,12
7,150,-1,0,0,0,NA,NA,12
8,150,-1,0,0,0,NA,NA,12
9,150,-1,0,0,0,NA,NA,12
10,150,-1,0,0,0,NA,NA,12
11,150,-1,0,0,0,NA,NA,12
12,150,-1,0,0,0,NA,NA,12
13,150,-1,0,0,0,NA,NA,12
14,150,-1,0,0,0,NA,NA,12
15,150,-1,0,0,0,NA,NA,12
16,150,-1,0,0,0,NA,NA,12
17,150,-1,0,0,0,NA,NA,12
18,150,-1,0,0,0,NA,NA,12
19,150,-1,0,0,0,NA,NA,12
20,150,-1,0,0,0,NA,NA,12
21,150,-1,0,0,0,NA,NA,12
22,150,-1,0,0,0,NA,NA,12
23,150,-1,0,0,0,NA,NA,12
24,150,-1,0,0,0,NA,NA,12
25,150,-1,0,0,0,NA,NA,12
26,150,-1,0,0,0,NA,NA,12
27,150,-1,0,0,0,NA,NA,12
28,150,-1,0,0,0,NA,NA,12
29,150,-1,0,0,0,NA,NA,12
30,150,-1,0,0,0,NA,NA,12
1,150,0,112.686666666667,111,115,106.45,118.55,12
2,150,0,108.52,105,112,98,117,12
3,150,0,117.173333333333,114.25,120,110.45,124,12
4,150,0,112.706666666667,109,115.75,102.45,125.1,12
5,150,0,121.36,118,125,111,132,12
6,150,0,147.42,145,150,140,154.55,12
7,150,0,121.726666666667,119,125,113,128.55,12
8,150,0,125.88,123,129,119,133.55,12
9,150,0,130.206666666667,128,133,123.45,137,12
10,150,0,140.313333333333,139,142.75,134,146,12
11,150,0,134.58,132,137,129,141,12
12,150,0,117.68,115,120,112,125,12
13,150,0,148.64,146.25,151,143,154,12
14,150,0,123.086666666667,121,125,117,128.55,12
15,150,0,106.406666666667,104,109,100,112,12
16,150,0,97.36,95,100,91,104,12
17,150,0,96.42,94,99,88.45,104,12
18,150,0,135.246666666667,133,137,130,142,12
19,150,0,110.02,108,112,103.45,116,12
20,150,0,135.24,133,137,128,141,12
21,150,0,109.98,108,112,104,116,12
22,150,0,130.846666666667,128,134,122,140,12
23,150,0,126.806666666667,125,129,122,132,12
24,150,0,114.36,111,117,106,123,12
25,150,0,106.533333333333,102,111,93,118,12
26,150,0,148.326666666667,146,151,143,154,12
27,150,0,135.46,132,138,129,141.55,12
28,150,0,128.586666666667,126,132,117.45,136.55,12
29,150,0,98.14,96,100.75,91,104,12
30,150,0,140.733333333333,138,144,134.45,148.55,12
1,42,1,112.52380952381,110,115,107.05,118,12
