"season","change","temperature","seed"
21,-0.321566038946332,-0.321566038946332,17
22,-0.826452193183004,-1.14801823212934,17
23,0.643948818008095,-0.504069414121241,17
24,-1.06278202028353,-1.56685143440477,17
25,-0.646351999614872,-2.21320343401964,17
26,-0.125441405109854,-2.33864483912949,17
27,-0.991784414676533,-3.33042925380603,17
28,1.21331026954832,-2.11711898425771,17
29,-0.0785239488122571,-2.19564293306997,17
30,0.965081037917297,-1.23056189515267,17
31,0.64306314963037,-0.587498745522299,17
32,-1.37586972959564,-1.96336847511794,17
33,-0.263885563676453,-2.22725403879439,17
34,0.957656032822093,-1.2695980059723,17
35,1.10095869010178,-0.168639315870514,17
36,-1.22438888596726,-1.39302820183778,17
37,2.39215156751246,0.999123365674681,17
38,-1.49890372360929,-0.499780357934612,17
39,-1.57207825269059,-2.0718586106252,17
40,1.20075566721919,-0.871102943406016,17
41,0.962715388894317,0.0916124454883006,17
42,1.04899222370816,1.14060466919646,17
43,-2.40959072198946,-1.26898605279299,17
44,-1.20818232734987,-2.47716838014286,17
45,-0.126038126461348,-2.60320650660421,17
46,-0.230856651743334,-2.83406315834755,17
47,-0.787728749238919,-3.62179190758647,17
48,0.496567339694287,-3.12522456789218,17
49,1.06745421772907,-2.05777035016311,17
50,-1.29272262114423,-3.35049297130734,17
51,-0.222173805870417,-3.57266677717776,17
52,0.51845440934413,-3.05421236783363,17
53,1.10590217267079,-1.94831019516285,17
54,0.38270732995477,-1.56560286520808,17
55,-1.15710118572291,-2.72270405093099,17
56,0.283974987644211,-2.43872906328677,17
57,-0.137708424882613,-2.57643748816939,17
58,-0.338262791876753,-2.91470028004614,17
59,0.0930460948663011,-2.82165418517984,17
60,-0.544526683025554,-3.36618086820539,17
61,-0.450588726702219,-3.81676959490761,17
62,0.441345966293407,-3.3754236286142,17
63,-0.63777238799114,-4.01319601660534,17
64,-0.548339772070101,-4.56153578867545,17
65,0.858662315282821,-3.70287347339262,17
66,-1.14305740811113,-4.84593088150375,17
67,0.129504466007854,-4.7164264154959,17
68,0.35856770528596,-4.35785871020994,17
69,-0.0909665675351973,-4.44882527774513,17
70,0.501967363414674,-3.94685791433046,17
0,0,0,17
0,0,0,17
0,0,0,17
0,0,0,17
0,0,0,17
0,0,0,17
0,0,0,17
0,0,0,17
0,0,0,17
0,0,0,17
0,0,0,17
0,0,0,17
0,0,0,17
0,0,0,17
0,0,0,17
0,0,0,17
0,0,0,17
0,0,0,17
0,0,0,17
0,0,0,17
