"season","change","temperature","seed"
21,-0.127965886739044,-0.127965886739044,20
22,0.183765222653983,0.0557993359149387,20
23,-0.16015681517063,-0.104357479255691,20
24,0.411746942981614,0.307389463725923,20
25,1.16078209021304,1.46817155393896,20
26,-0.544262492407062,0.923909061531903,20
27,2.19258060376126,3.11648966529316,20
28,0.303183460865756,3.41967312615892,20
29,-1.49248444346685,1.92718868269207,20
30,-1.03802559624023,0.889163086451836,20
31,-0.177323397666927,0.711839688784908,20
32,-0.863562976959181,-0.151723288174273,20
33,-0.551120165819684,-0.702843453993957,20
34,0.853167852794378,0.15032439880042,20
35,1.02105317505791,1.17137757385833,20
36,0.783514057951407,1.95489163180974,20
37,-0.27001845418849,1.68487317762125,20
38,0.24412789364433,1.92900107126558,20
39,0.508238347030606,2.43723941829618,20
40,-0.272026582777658,2.16521283551853,20
41,-0.366927571241909,1.79828526427662,20
42,0.157492670891828,1.95577793516844,20
43,-1.41797724474987,0.537800690418574,20
44,-0.161912715675945,0.375887974742629,20
45,0.635552887614029,1.01144086235666,20
46,1.08119622396099,2.09263708631764,20
47,-1.23467812776049,0.857958958557157,20
48,0.596599125194319,1.45455808375148,20
49,-0.288092110580395,1.16646597317108,20
50,-1.22999096307476,-0.0635249899036769,20
51,1.07896455435469,1.01543956445102,20
52,-0.811465889564649,0.203973674886367,20
53,-1.25262727970587,-1.0486536048195,20
54,0.604443233964689,-0.444210370854813,20
55,-1.59052553690914,-2.03473590776395,20
56,0.217197113779607,-1.81753879398435,20
57,1.89081174079821,0.0732729468138686,20
58,1.91746180970006,1.99073475651393,20
59,-0.203835129217984,1.78689962729595,20
60,-0.445620296325711,1.34127933097024,20
61,-0.682988451154492,0.658290879815745,20
62,0.0986831409064902,0.756974020722235,20
63,0.0464033953257259,0.803377416047961,20
64,0.669549375194258,1.47292679124222,20
65,-0.235144126379064,1.23778266486315,20
66,-0.889028315418538,0.348754349444616,20
67,0.154080551945237,0.502834901389854,20
68,-0.87760580291584,-0.374770901525987,20
69,1.8058396509632,1.43106874943722,20
70,1.00724010501813,2.43830885445534,20
0,0,0,20
0,0,0,20
0,0,0,20
0,0,0,20
0,0,0,20
0,0,0,20
0,0,0,20
0,0,0,20
0,0,0,20
0,0,0,20
0,0,0,20
0,0,0,20
0,0,0,20
0,0,0,20
0,0,0,20
0,0,0,20
0,0,0,20
0,0,0,20
0,0,0,20
0,0,0,20
